Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS005_Survei Lahan Baru,,,,2021-10-12 20:14:43,2021-10-12 20:16:29,1m - 45.355s,PASSED
,,,,,,,
Test Cases/AgreeFA/Pengajuan Lahan Baru/Survei Lahan Baru,,,,2021-10-12 20:14:44,2021-10-12 20:16:29,1m - 45.136s,PASSED
"startApplication(Path3, true)",,,,2021-10-12 20:14:44,2021-10-12 20:15:13,28.896s,PASSED
"abstraction.customKeyword.logintoAppsFA(Username3, Password3)",,,,2021-10-12 20:15:13,2021-10-12 20:15:32,19.370s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/ListMitraTerdaftar_Text""), 0)",,,,2021-10-12 20:15:32,2021-10-12 20:15:33,0.364s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/ListMitraTerdaftar_Text""), 0)",,,,2021-10-12 20:15:33,2021-10-12 20:15:33,0.484s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/NamaMitra_Text""), 0)",,,,2021-10-12 20:15:33,2021-10-12 20:15:35,1.372s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/NamaMitra_Text""), 0)",,,,2021-10-12 20:15:35,2021-10-12 20:15:35,0.343s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/PengajuanLahanBaru_Card""), 0)",,,,2021-10-12 20:15:35,2021-10-12 20:15:36,1.245s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/PengajuanLahanBaru_Card""), 0)",,,,2021-10-12 20:15:36,2021-10-12 20:15:36,0.295s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/BelumSurvei_Card""), 0)",,,,2021-10-12 20:15:36,2021-10-12 20:15:38,1.182s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/BelumSurvei_Card""), 0)",,,,2021-10-12 20:15:38,2021-10-12 20:15:38,0.653s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2021-10-12 20:15:38,2021-10-12 20:15:40,2.010s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/TambahLahan_Button""), 0)",,,,2021-10-12 20:15:40,2021-10-12 20:15:40,0.123s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/TambahLahan_Button""), 0)",,,,2021-10-12 20:15:40,2021-10-12 20:15:41,0.280s,PASSED
